Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Kimberly Dawn Whitworth,3/31/14,Unreported,No known charges,
Shirley Joyce Brown,3/31/14,Unreported,No known charges,
Zikarious Flint,3/30/14,Unreported,No known charges,
Raason Shaw,3/29/14,Unreported,No known charges,
Anthony Ray Osburn,3/28/14,Unreported,No known charges,
"Bryant Augustus ""Fluke"" Stallings",3/28/14,Unreported,No known charges,
Christopher Leo Knight,3/28/14,Justified,No known charges,
Jason Roy Wilson,3/28/14,Unreported,No known charges,
Tracy L. McCraw,3/28/14,Unreported,No known charges,
Antoquan T. Watson,3/27/14,Unreported,No known charges,
Eduardo Rodriguez,3/27/14,Justified,No known charges,
Larry Dale Plaster,3/27/14,Unreported,No known charges,
"Lonnie Duane ""L.D."" Baker",3/27/14,Unreported,No known charges,
Christopher McDaniel,3/26/14,Justified,No known charges,
Steven Charles Corkery,3/26/14,Unreported,No known charges,
Alfred Redwine,3/25/14,Unknown,No known charges,
Brendan K. Wright,3/25/14,Justified,No known charges,
Charles D. Welborn,3/25/14,Unknown,No known charges,
Chieu-di Thi Vo,3/25/14,Justified,No known charges,
DeAndre Lloyd Starks,3/25/14,Justified,No known charges,
Israel Rondon,3/25/14,Justified,No known charges,
Sakhar Williye Robinson,3/25/14,Pending investigation/No Known Charges,No known charges,
Michael Valentino,3/24/14,Unreported,No known charges,
Gail Dean Fairless,3/23/14,Unreported,No known charges,
Willie Neall Harden,3/23/14,Unreported,No known charges,
Brian McLeod,3/22/14,Justified,No known charges,
Douglas Cooper,3/22/14,Unreported,No known charges,
Aaron Dino Smith Jr.,3/21/14,Unreported,No known charges,
"Alejandro ""Alex"" Nieto",3/21/14,Unreported,No known charges,
Homer Ken Warren,3/21/14,Pending investigation/No Known Charges,No known charges,
Monty Wayne Barker,3/21/14,Unreported,No known charges,
Rajsaun McCray,3/21/14,Pending investigation/No Known Charges,No known charges,
William Slade Sullivan,3/21/14,Unknown,No known charges,
Angel Ruiz,3/20/14,Justified,No known charges,
Hector Chairez,3/20/14,Unreported,No known charges,
Robert Moreno Jr.,3/20/14,Justified,No known charges,
Willie D. Michilak,3/20/14,Grand jury/No bill or Cleared,No known charges,
Errol Chang,3/19/14,Justified,No known charges,
Joe Gorden,3/19/14,Justified,No known charges,
Craig Uran,3/18/14,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),No known charges,
Daquan Hendrix,3/18/14,Unreported,No known charges,
Ryan Charles Deitrich,3/18/14,Unreported,No known charges,
Winfield Carlton Fisher III,3/18/14,Unreported,No known charges,
Hallis Kinsey,3/17/14,Unreported,No known charges,
Kenny Roger Drake,3/17/14,Justified,No known charges,
William L. Daniels,3/17/14,Unreported,No known charges,
Brian Garber,3/16/14,Pending investigation/No Known Charges,No known charges,
Daniel Martin,3/16/14,Justified,No known charges,
Deosaran Maharaj,3/16/14,Unreported,No known charges,
James M. Boyd,3/16/14,"Charged, Mistrial declared","Charged, Mistrial",
Ronald Wayne Tate,3/16/14,Unreported,No known charges,
"Derral Kenneth ""Kenny"" Mosby",3/14/14,Unreported,No known charges,
Jimmy Eugene Barker,3/14/14,Justified,No known charges,
Raul Altimirano Suarez Jr.,3/13/14,Unreported,No known charges,
Stanley Preston Thompson,3/13/14,Unreported,No known charges,
Eric Paul Andrews,3/12/14,,No known charges,
Kelly Vern Mark Swoboda,3/12/14,Justified,No known charges,
Troy David Whisnant,3/12/14,Unreported,No known charges,
Albert William Keyes,3/11/14,Justified,No known charges,
Michael Snyder,3/11/14,Justified,No known charges,
Andrew Rael,3/10/14,Unreported,No known charges,
Ben Shannon,3/10/14,Justified,No known charges,
Brian P. Spooner,3/10/14,Unreported,No known charges,
David L. Robinson,3/10/14,Unreported,No known charges,
John Weipert,3/10/14,Justified,No known charges,
Name withheld by police,3/10/14,Unreported,No known charges,
Erdenebileg Sambuunyam,3/9/14,Unreported,No known charges,
Floyd Gene Hodge,3/9/14,Unreported,No known charges,
Gordon E. Samel,3/9/14,Justified,No known charges,
Herbert Wayne Morehead,3/9/14,Justified,No known charges,
Justin Aguilar,3/9/14,Justified,No known charges,
Victor White III,3/9/14,Unknown,No known charges,
Emerson Clayton Jr.,3/8/14,Justified,No known charges,
John Harmon,3/8/14,Unreported,No known charges,
JoAnna Miller,3/7/14,Found Excusable,No known charges,
Veronica Canter,3/7/14,Unreported,No known charges,
Clifford Crowe,3/6/14,Unreported,No known charges,
James Stutchman,3/6/14,Justified,No known charges,
Kenny Clinton Walker,3/6/14,Unreported,No known charges,
Lonnie Gene Roberts,3/6/14,Unreported,No known charges,
Roy Eugene Irvin,3/6/14,Unreported,No known charges,
Andrew Sizemore,3/5/14,Unknown,No known charges,
Eddy Barrios,3/5/14,Pending investigation/No Known Charges,No known charges,
Gary E. Wenzel,3/5/14,Justified,No known charges,
Robert J. Storay,3/5/14,Pending investigation/No Known Charges,No known charges,
Robert James Gonzales,3/5/14,Justified,No known charges,
Charles Muse III,3/4/14,Pending investigation/No Known Charges,No known charges,
Federico Osorio,3/4/14,Unreported,No known charges,
Lew G. Tyree II,3/4/14,Unreported,No known charges,
Rebecca Lynn Oliver,3/4/14,Unreported,No known charges,
Clay Spotted Bear,3/3/14,Unreported,No known charges,
Michael Cravey,3/3/14,Unreported,No known charges,
William Thornton,3/3/14,Unreported,No known charges,
Gabriella Monique Nevarez,3/2/14,Unreported,No known charges,
Robert Joseph Minjarez Jr.,3/2/14,Unreported,No known charges,
Ryan Matthew Shannon,3/2/14,Unreported,No known charges,
Anthony Kovac,3/1/14,Unreported,No known charges,
Marquise Jones,2/28/14,Unreported,No known charges,
Maykel Antonio Barrera,2/28/14,Unreported,No known charges,
Robert Striffler,2/28/14,Unreported,No known charges,
"Treon ""Tree"" Johnson",2/27/14,Unreported,No known charges,
Del Aukerman,2/26/14,Unreported,No known charges,
John Edward Chesney,2/26/14,Unreported,No known charges,
Scott Islam,2/26/14,Unreported,No known charges,
Vanessa Pitofsky,2/26/14,Murder/suicide,No known charges,
Ye Hua Jian,2/26/14,Unreported,No known charges,
Billie Joe Woolford,2/25/14,Unreported,No known charges,
Bobby Canipe,2/25/14,Justified,No known charges,
Harold Lynn Phelps,2/25/14,Unreported,No known charges,
Gregory Sanders,2/24/14,Unreported,No known charges,
Joseph Ma,2/23/14,Unreported,No known charges,
Armando Alvarez,2/22/14,Unreported,No known charges,
Antonio Guzman Lopez,2/21/14,Unreported,No known charges,
James Marlowe Ness,2/20/14,Unreported,No known charges,
David Goins,2/18/14,Unreported,No known charges,
Jesus Flores-Cruz,2/18/14,Unreported,No known charges,
Randy Ray Vinson,2/18/14,Justified,No known charges,
John E. Brown II,2/17/14,Unreported,No known charges,
Oscar Gaspar,2/17/14,Unreported,No known charges,
Keith Atkinson,2/16/14,Unreported,No known charges,
Name withheld by police,2/16/14,Unreported,No known charges,
Riley Leif Ottersen,2/16/14,Unreported,No known charges,
Yvette Smith,2/16/14,"Charged with murder, aquitted","Charged, Acquitted",
Bernard Lofton,2/15/14,Justified,No known charges,
Brandon Keeler,2/15/14,Unreported,No known charges,
Jeffrey M. Harris,2/15/14,Justified,No known charges,
Luis Antonio Elena Rodriguez,2/15/14,Justified,No known charges,
Christopher Roupe,2/14/14,Grand jury/No bill or Cleared,No known charges,
D'Andre Berghardt Jr.,2/14/14,Unknown,No known charges,
Javier Mendez,2/13/14,Unreported,No known charges,
Jose Manuel Meza Avendano,2/13/14,Unreported,No known charges,
Joseph R. Wharton,2/13/14,Justified,No known charges,
Dennis Grohn,2/12/14,Justified,No known charges,
Stephon Averyhart,2/12/14,Unreported,No known charges,
Jedadiah Zillmer,2/11/14,Unreported,No known charges,
Pamela Hutcherson,2/11/14,Unreported,No known charges,
Anthony Bartley,2/10/14,Justified,No known charges,
Deonta Dewight Mackey,2/10/14,Unreported,No known charges,
Ernest Satterwhite,2/10/14,"Charged, Convicted of misdemeanor misconduct in office, Sentenced to 3 years probation ","Charged, Convicted, Sentenced to 3 years probation ",
Leroy Turner,2/10/14,Unreported,No known charges,
Name withheld by police,2/10/14,Unreported,No known charges,
Robert Miguel Gutierrez Villa,2/10/14,Unreported,No known charges,
Donald Haynes,2/9/14,Unreported,No known charges,
Brad Allen Mason,2/7/14,Justified,No known charges,
Dawn Marie Pfister,2/7/14,Unknown,No known charges,
Johnny Rico Richardson,2/7/14,Unreported,No known charges,
Keith Walker,2/7/14,Unreported,No known charges,
Mathew Vincent Serbus,2/7/14,Unknown,No known charges,
Stephen Wayne Ross,2/6/14,Unreported,No known charges,
Earl Edward Clague Jr.,2/5/14,Justified,No known charges,
James L. Norris,2/5/14,Justified,No known charges,
Willie James Sams,2/5/14,Unreported,No known charges,
Anesson Joseph,2/4/14,Justified,No known charges,
Ariel Levy,2/4/14,Pending investigation/No Known Charges,No known charges,
Don Pooley,2/4/14,Unreported,No known charges,
Name withheld by police,2/4/14,Unreported,No known charges,
Randall Hatori,2/4/14,Unreported,No known charges,
Mark Garcia,2/3/14,Unreported,No known charges,
Kevin Dejon Grissett,2/1/14,Unreported,No known charges,
Michael Bourquin-Burch,2/1/14,Unreported,No known charges,
Zachary Andrews,2/1/14,Unreported,No known charges,
Alton Reaves,1/31/14,Justified,No known charges,
Jose Angel Garcia Jauregui,1/31/14,Justified,No known charges,
Michael Paul Napier,1/31/14,Unreported,No known charges,
Mark Anthony Ayala,1/30/14,Unreported,No known charges,
Steven Burke Pettersen,1/30/14,Pending investigation/No Known Charges,No known charges,
Christopher Stirkens,1/29/14,Unreported,No known charges,
Cornelius Turner,1/29/14,Unreported,No known charges,
Curley Edward Spry,1/29/14,Unreported,No known charges,
Lawrence D. Chavez,1/29/14,Pending investigation/No Known Charges,No known charges,
Cameron Lupton,1/28/14,Justified,No known charges,
Felix Navarette,1/28/14,Justified,No known charges,
Grace Louise Denk,1/28/14,Justified,No known charges,
Michael Gabriele,1/28/14,Unreported,No known charges,
Charles Hull,1/27/14,Unreported,No known charges,
Julius Cecil Freeman,1/27/14,Unknown,No known charges,
Luis Morin,1/27/14,Charged with murder,Charged with a crime,
Aaron DeVenere,1/26/14,Unreported,No known charges,
Pierree Davis,1/26/14,Justified,No known charges,
Praminder Singh Shergill,1/25/14,Unreported,No known charges,
Zachary J. Sumner,1/25/14,Justified,No known charges,
Clint Evans McKinney,1/24/14,Unreported,No known charges,
Kevin Shane McCoshum,1/24/14,Unreported,No known charges,
Chris Provost,1/23/14,Unreported,No known charges,
Harold Powers,1/22/14,Unreported,No known charges,
Antonio Mestas,1/21/14,Unreported,No known charges,
Eldrin Smart,1/21/14,Unreported,No known charges,
Jose Munguia,1/21/14,Unreported,No known charges,
Joshua Seth Layne,1/21/14,Unreported,No known charges,
"Tom Smith, Jr.",1/21/14,Found Excusable,No known charges,
Andrew Law,1/20/14,Unreported,No known charges,
Diana Crockett Conner,1/20/14,Unreported,No known charges,
Earl Douglas Braddy,1/20/14,Unreported,No known charges,
Keith Ronald Koster,1/20/14,Unreported,No known charges,
Rodney Golden,1/19/14,Unreported,No known charges,
Caleb Surface,1/18/14,Justified,No known charges,
Gabriel Sanchez Velasquez,1/17/14,,No known charges,
Haley Boren,1/16/14,Murder/suicide,No known charges,
Henry Jackson,1/16/14,Justified,No known charges,
Jordan Baker,1/16/14,Justified,No known charges,
"Joshua ""Jaden"" Boren",1/16/14,Murder/suicide,No known charges,
Kelly Boren,1/16/14,Murder/suicide,No known charges,
Marie King,1/16/14,Murder/suicide,No known charges,
Raymond Roberts,1/16/14,Unreported,No known charges,
Bernard Adams,1/15/14,Unreported,No known charges,
Shawn Walter Bair,1/15/14,Justified,No known charges,
Blas Leroux,1/14/14,Justified,No known charges,
Gregory Vaughn Hill Jr,1/14/14,Unreported,No known charges,
Manuel Oscar Longoria,1/14/14,Justified,No known charges,
Paul Smith,1/14/14,Unreported,No known charges,
Steven Lewis Pfalzgraf,1/14/14,Justified,No known charges,
William Jackson Marble,1/14/14,Justified,No known charges,
Perry Webb,1/13/14,Unreported,No known charges,
Anthony Mascarino,1/12/14,Unknown,No known charges,
Enrique Carlos Rodarte,1/12/14,Unreported,No known charges,
Jerry Delagarza,1/9/14,Justified,No known charges,
Jose Luis Navarro,1/9/14,Unreported,No known charges,
Michael Anthony Ware,1/9/14,Justified,No known charges,
Nathan Massey,1/8/14,,No known charges,
Ernest Attebery,1/7/14,Unreported,No known charges,
Vernum Blunk,1/7/14,Justified,No known charges,
Shon Aaron Spencer,1/6/14,Unreported,No known charges,
Deacon James Clark,1/5/14,Justified,No known charges,
Keith Vidal,1/5/14,"Charged, Acquitted","Charged, Acquitted",
Frankie Martinez,1/4/14,Justified,No known charges,
Igor Skorev,1/4/14,Unreported,No known charges,
John Murray,1/4/14,Unreported,No known charges,
Michael Estrada,1/4/14,Pending investigation/No Known Charges,No known charges,
Noah Scott,1/4/14,Justified,No known charges,
Robert Coleman,1/4/14,Unreported,No known charges,
Rocendo Arias,1/4/14,Unreported,No known charges,
Brandon Lee Melton,1/3/14,Justified,No known charges,
Jesse J. Humphrey,1/3/14,Unreported,No known charges,
Joeshawn Edward Williams,1/3/14,Unreported,No known charges,
Patrick L. Jones,1/3/14,Unreported,No known charges,
Wesley Maldonado,1/3/14,Justified,No known charges,
Keith Jason Martin,1/2/14,"Charged, Convicted of murder, Sentenced to 30 years in prison","Charged, Convicted, Sentenced to 30 years in prison",
Michael Edward Schmidt,1/2/14,Justified,No known charges,
Rasheik Calhoun,1/2/14,Justified,No known charges,
Julias Michael Reese,1/1/14,Unreported,No known charges,
Shane Bridges,1/1/14,Unknown,No known charges,
Dontae Daveon Lewis Hayes,12/31/13,Unknown,No known charges,
Ricky Junior Toney,12/31/13,Unreported,No known charges,
James M. Eshelman,12/30/13,Unreported,No known charges,
Bethany Lytle,12/29/13,Unreported,No known charges,
Christopher George,12/29/13,Unreported,No known charges,
Franklin Jones III,12/29/13,Unreported,No known charges,
Jaspal Singh,12/29/13,Unreported,No known charges,
Joseph Glenn,12/29/13,Unreported,No known charges,
Kendall Alexander,12/29/13,Charged with 2nd degreee murder,Charged with a crime,
Mitchell Allen Street,12/29/13,Unreported,No known charges,
William Jackson,12/29/13,Unreported,No known charges,
Dante Chavful,12/28/13,,No known charges,
Mario Edward Garnett,12/28/13,Unreported,No known charges,
Somourian Jamal Wingo,12/28/13,Unreported,No known charges,
Darrell King,12/27/13,Unreported,No known charges,
John A. Massey,12/27/13,Unreported,No known charges,
John Lincoln,12/27/13,Unreported,No known charges,
Asa James Dolak,12/26/13,Unreported,No known charges,
James Torres,12/26/13,Unreported,No known charges,
Peyton Cole Barbour,12/25/13,Justified,No known charges,
Michael Rosales,12/24/13,Justified,No known charges,
William Goodman,12/24/13,Justified,No known charges,
Matthew Clowers,12/23/13,Unknown,No known charges,
James Lewis Brown,12/22/13,Justified,No known charges,
David P. Giliberti,12/21/13,Justified by District Attorney,No known charges,
Mah-hi-vist Goodblanket,12/21/13,Justified,No known charges,
Sharon Rebecca McDowell,12/20/13,Unknown,No known charges,
Cimarron Lamar Lamb,12/19/13,Unknown,No known charges,
Duane Slentz,12/18/13,Unreported,No known charges,
Darold Vadenheuvel,12/16/13,Justified,No known charges,
Kevin Ross,12/16/13,Unreported,No known charges,
Lawrence Sanchez,12/14/13,Justified,No known charges,
Roy D. Rhodes,12/14/13,Unreported,No known charges,
Victor Rivera,12/14/13,Unreported,No known charges,
